order_date,order_year,order_month,item_category,order_count,item_count,promo_item_count,cust_count,avg_item_revenue,avg_distance,average_item_rate,promo_item_percentage
2023-03-06,2023,3,null,32,34,3,27,null,3566.38,1.26,0.09
2023-03-06,2023,3,Other Confectionary,72,72,0,60,4.97,3402.57,1.2,0
2023-03-06,2023,3,Crisp & Snacks,79,89,0,63,2.85,3218.09,1.41,0
2023-03-06,2023,3,"Cheese Crackers, Breadsticks & Dipping",8,8,0,4,2.34,3168.13,2,0
2023-03-06,2023,3,Chocolate,41,45,0,33,2.36,4631.56,1.36,0
2023-03-06,2023,3,Cookies,6,6,0,6,2.04,4667.17,1,0
2023-03-06,2023,3,"Toffee, Fudge & Nougat",1,1,0,1,1.92,7130,1,0
2023-03-06,2023,3,Chocolate & Sweet Spreads,1,1,0,1,3.59,1553,1,0
2023-03-07,2023,3,"Cheese Crackers, Breadsticks & Dipping",14,14,0,12,2.81,4324.21,1.17,0
2023-03-07,2023,3,Cookies,5,5,0,5,2.13,2304.4,1,0
2023-03-07,2023,3,"Toffee, Fudge & Nougat",2,2,0,2,3.81,1234.5,1,0
2023-03-07,2023,3,Other Confectionary,70,70,0,66,4.92,3376.66,1.06,0
2023-03-07,2023,3,null,59,62,10,50,null,4069.95,1.24,0.16
2023-03-07,2023,3,Crisp & Snacks,147,171,0,125,3.3,3534.13,1.37,0
2023-03-07,2023,3,Chocolate,26,26,0,24,2.63,4732.15,1.08,0
2023-03-07,2023,3,Chocolate & Sweet Spreads,4,4,0,4,4.23,4601.75,1,0
2023-03-08,2023,3,null,65,67,4,56,null,3728.85,1.2,0.06
2023-03-08,2023,3,Chocolate & Sweet Spreads,6,6,0,5,3.8,5256.17,1.2,0
2023-03-08,2023,3,"Cheese Crackers, Breadsticks & Dipping",8,8,0,7,3,3100.13,1.14,0
2023-03-08,2023,3,Other Confectionary,99,99,0,91,4.78,3110.84,1.09,0
2023-03-08,2023,3,Cookies,3,4,0,3,1.98,5880,1.33,0
2023-03-08,2023,3,Chocolate,48,52,0,30,2.47,4330.58,1.73,0
2023-03-08,2023,3,Crisp & Snacks,150,167,0,134,2.98,2993.83,1.25,0
2023-03-08,2023,3,"Toffee, Fudge & Nougat",2,2,0,2,2.65,1327.5,1,0
2023-03-09,2023,3,"Toffee, Fudge & Nougat",2,2,0,2,3.84,3272,1,0
2023-03-09,2023,3,Cookies,11,11,0,9,2.01,2709.36,1.22,0
2023-03-09,2023,3,null,38,40,3,33,null,2874.9,1.21,0.08
2023-03-09,2023,3,"Cheese Crackers, Breadsticks & Dipping",9,9,0,7,2.61,2724.56,1.29,0
2023-03-09,2023,3,Chocolate & Sweet Spreads,4,6,0,3,3,4763.5,2,0
2023-03-09,2023,3,Chocolate,33,35,0,28,2.32,3269.54,1.25,0
2023-03-09,2023,3,Crisp & Snacks,125,138,0,112,3.03,3030.86,1.23,0
2023-03-09,2023,3,Other Confectionary,72,72,0,65,5.38,3083.68,1.11,0
2023-03-10,2023,3,"Cheese Crackers, Breadsticks & Dipping",2,2,0,2,2.64,1860,1,0
2023-03-10,2023,3,Crisp & Snacks,93,104,0,75,3.24,3342.15,1.39,0
2023-03-10,2023,3,Cookies,13,13,0,10,2.23,6409.23,1.3,0
2023-03-10,2023,3,null,37,39,3,37,null,3301.41,1.05,0.08
2023-03-10,2023,3,Chocolate,41,42,0,34,2.21,4352.6,1.24,0
2023-03-10,2023,3,Chocolate & Sweet Spreads,2,2,0,2,3.59,2135.5,1,0
2023-03-10,2023,3,"Toffee, Fudge & Nougat",1,1,0,1,3.13,1069,1,0
2023-03-10,2023,3,Other Confectionary,123,123,0,97,4.82,4165.85,1.27,0
2023-03-11,2023,3,Cookies,17,18,0,14,1.62,3711.94,1.29,0
2023-03-11,2023,3,Other Confectionary,94,94,0,83,5.07,3349.73,1.13,0
2023-03-11,2023,3,"Cheese Crackers, Breadsticks & Dipping",5,5,0,5,2.64,3236.8,1,0
2023-03-11,2023,3,null,53,60,10,41,null,4075.27,1.46,0.17
2023-03-11,2023,3,Chocolate,38,40,0,33,2.61,2996.48,1.21,0
2023-03-11,2023,3,Crisp & Snacks,85,97,0,76,3.04,3230.94,1.28,0
2023-03-11,2023,3,Chocolate & Sweet Spreads,4,4,0,3,3.84,3370.75,1.33,0
2023-03-11,2023,3,"Toffee, Fudge & Nougat",1,1,0,1,1.92,1998,1,0
2023-03-12,2023,3,Other Confectionary,82,82,0,73,5.13,2826.82,1.12,0
2023-03-12,2023,3,Crisp & Snacks,144,155,0,116,3.08,3791.1,1.34,0
2023-03-12,2023,3,"Cheese Crackers, Breadsticks & Dipping",4,4,0,4,2.64,5402.75,1,0
2023-03-12,2023,3,null,72,75,0,53,null,3499,1.42,0
2023-03-12,2023,3,"Toffee, Fudge & Nougat",1,1,0,1,3.13,1170,1,0
2023-03-12,2023,3,Cookies,19,19,0,18,2.05,3082.63,1.06,0
2023-03-12,2023,3,Chocolate,53,60,0,46,2.37,2880.18,1.3,0
2023-03-12,2023,3,Chocolate & Sweet Spreads,2,2,0,2,4.23,5770.5,1,0
2023-03-13,2023,3,null,36,37,12,30,null,3351.68,1.23,0.32
2023-03-13,2023,3,Cookies,8,8,0,8,2.04,3002.38,1,0
2023-03-13,2023,3,Other Confectionary,50,50,0,45,4.63,3141.24,1.11,0
2023-03-13,2023,3,Chocolate,35,36,3,27,2.41,3466.36,1.33,0.08
2023-03-13,2023,3,Crisp & Snacks,104,114,0,86,3.11,3668.12,1.33,0
2023-03-13,2023,3,"Toffee, Fudge & Nougat",1,1,0,1,3.13,8100,1,0
2023-03-13,2023,3,Chocolate & Sweet Spreads,2,2,0,1,4.86,1047,2,0
2023-03-14,2023,3,Cookies,11,11,0,11,2.21,2957.82,1,0
2023-03-14,2023,3,Crisp & Snacks,175,192,0,146,2.98,3931.79,1.32,0
2023-03-14,2023,3,null,56,65,27,50,null,3754.85,1.3,0.42
2023-03-14,2023,3,Chocolate,15,16,1,15,3.6,4358.19,1.07,0.06
2023-03-14,2023,3,"Cheese Crackers, Breadsticks & Dipping",12,12,0,7,3.08,2716.58,1.71,0
2023-03-14,2023,3,Other Confectionary,57,57,0,53,5.52,3215.61,1.08,0
2023-03-14,2023,3,Chocolate & Sweet Spreads,4,4,0,3,3.66,2372.75,1.33,0
